grid_id,Species_richness_hal,lon,lat,Remoteness,aus_coastline,Ecoregion
36,2,113.25,-26.25,615.0654107659342,5,Mediterranean Forests
103,6,113.75,-26.75,671.8125922424402,5,Mediterranean Forests
107,8,113.75,-24.75,608.4033881532638,5,Deserts & Xeric Shrublands
108,8,113.75,-24.25,748.0894925381356,5,Deserts & Xeric Shrublands
109,8,113.75,-23.75,743.5854585541633,5,Deserts & Xeric Shrublands
169,9,114.25,-27.75,366.79663588824496,5,Mediterranean Forests
170,8,114.25,-27.25,565.2670558238069,5,Mediterranean Forests
171,6,114.25,-26.75,660.2066814758114,5,Deserts & Xeric Shrublands
172,8,114.25,-26.25,483.12926711774656,5,Deserts & Xeric Shrublands
173,7,114.25,-25.75,539.4349480349792,5,Deserts & Xeric Shrublands
174,8,114.25,-25.25,654.8952093323568,5,Deserts & Xeric Shrublands
175,8,114.25,-24.75,667.1419046694097,5,Deserts & Xeric Shrublands
176,8,114.25,-24.25,705.766643748327,5,Deserts & Xeric Shrublands
177,8,114.25,-23.75,704.7635858134313,5,Deserts & Xeric Shrublands
178,8,114.25,-23.25,779.5858645558197,5,Deserts & Xeric Shrublands
179,8,114.25,-22.75,824.9148360547791,5,Deserts & Xeric Shrublands
235,8,114.75,-28.75,266.99680050701596,5,Mediterranean Forests
236,10,114.75,-28.25,322.47797800043236,5,Mediterranean Forests
237,8,114.75,-27.75,379.75452676661945,5,Mediterranean Forests
238,9,114.75,-27.25,490.98850809325194,5,Mediterranean Forests
239,6,114.75,-26.75,554.9691747593245,5,Deserts & Xeric Shrublands
240,7,114.75,-26.25,695.5374195442649,5,Deserts & Xeric Shrublands
241,7,114.75,-25.75,808.0262358670581,5,Deserts & Xeric Shrublands
242,7,114.75,-25.25,727.5099559399414,5,Deserts & Xeric Shrublands
243,7,114.75,-24.75,711.2276775814651,5,Deserts & Xeric Shrublands
244,7,114.75,-24.25,797.212504713487,5,Deserts & Xeric Shrublands
245,8,114.75,-23.75,829.8052150979014,5,Deserts & Xeric Shrublands
246,8,114.75,-23.25,833.8634724364297,5,Deserts & Xeric Shrublands
247,7,114.75,-22.75,836.3351294364287,5,Deserts & Xeric Shrublands
248,8,114.75,-22.25,1067.9528539272644,5,Deserts & Xeric Shrublands
292,10,115.25,-34.25,160.61466209018462,5,Mediterranean Forests
293,11,115.25,-33.75,129.76645200906617,5,Mediterranean Forests
299,10,115.25,-30.75,120.73407138323684,5,Mediterranean Forests
300,9,115.25,-30.25,148.537082819219,5,Mediterranean Forests
301,9,115.25,-29.75,202.60280171957726,5,Mediterranean Forests
302,10,115.25,-29.25,240.0521553826218,5,Mediterranean Forests
303,9,115.25,-28.75,286.37605432700866,5,Mediterranean Forests
304,8,115.25,-28.25,396.46418775327874,5,Mediterranean Forests
305,8,115.25,-27.75,525.8919002098709,5,Deserts & Xeric Shrublands
306,7,115.25,-27.25,620.1918372964876,5,Deserts & Xeric Shrublands
307,8,115.25,-26.75,704.0082177246053,5,Deserts & Xeric Shrublands
308,6,115.25,-26.25,804.1287440635862,5,Deserts & Xeric Shrublands
309,6,115.25,-25.75,921.8168720049152,5,Deserts & Xeric Shrublands
310,7,115.25,-25.25,696.6575626600102,5,Deserts & Xeric Shrublands
311,7,115.25,-24.75,748.2993735495658,5,Deserts & Xeric Shrublands
312,7,115.25,-24.25,864.4058498438504,5,Deserts & Xeric Shrublands
313,8,115.25,-23.75,807.5427663672108,5,Deserts & Xeric Shrublands
314,8,115.25,-23.25,968.3178395917727,5,Deserts & Xeric Shrublands
315,6,115.25,-22.75,884.7679746435431,5,Deserts & Xeric Shrublands
316,6,115.25,-22.25,952.1487661107784,5,Deserts & Xeric Shrublands
317,6,115.25,-21.75,983.4242551185542,5,Deserts & Xeric Shrublands
360,11,115.75,-34.25,167.14031231952978,5,Mediterranean Forests
361,14,115.75,-33.75,121.95268810508885,5,Mediterranean Forests
362,11,115.75,-33.25,74.52294198586804,5,Mediterranean Forests
363,12,115.75,-32.75,39.11421870991374,5,Mediterranean Forests
365,12,115.75,-31.75,12.090615135479203,5,Mediterranean Forests
366,11,115.75,-31.25,64.51801947265076,5,Mediterranean Forests
367,12,115.75,-30.75,114.24435814446674,5,Mediterranean Forests
368,9,115.75,-30.25,173.60923093665556,5,Mediterranean Forests
369,5,115.75,-29.75,206.33367138952994,5,Mediterranean Forests
370,8,115.75,-29.25,228.83806347167763,5,Mediterranean Forests
371,8,115.75,-28.75,279.43065585872426,5,Mediterranean Forests
372,8,115.75,-28.25,355.5861180157052,5,Mediterranean Forests
373,7,115.75,-27.75,431.84250986566457,5,Mediterranean Forests
374,6,115.75,-27.25,503.4410454973987,5,Deserts & Xeric Shrublands
375,6,115.75,-26.75,524.1181895124768,5,Deserts & Xeric Shrublands
376,6,115.75,-26.25,678.4175784302965,5,Deserts & Xeric Shrublands
377,6,115.75,-25.75,757.0250301028667,5,Deserts & Xeric Shrublands
378,7,115.75,-25.25,606.7161596412207,5,Deserts & Xeric Shrublands
379,7,115.75,-24.75,757.9648824536789,5,Deserts & Xeric Shrublands
380,8,115.75,-24.25,842.7893481210594,5,Deserts & Xeric Shrublands
381,8,115.75,-23.75,874.082446567624,5,Deserts & Xeric Shrublands
382,8,115.75,-23.25,1202.1974181342612,5,Deserts & Xeric Shrublands
383,5,115.75,-22.75,974.9612939813273,5,Deserts & Xeric Shrublands
384,4,115.75,-22.25,906.0271123976029,5,Deserts & Xeric Shrublands
385,6,115.75,-21.75,926.9541242681447,5,Deserts & Xeric Shrublands
427,11,116.25,-34.75,215.66778599194515,5,Mediterranean Forests
428,12,116.25,-34.25,166.49987442186244,5,Mediterranean Forests
429,16,116.25,-33.75,133.39537642664465,5,Mediterranean Forests
